Dongxiang,Chinese
"Eqiede nie basi wo, ene yawukude nie taolei holu dawazhewo",兔子一跑过来，便被这只老虎捉住了
Taolei holuzhi dawazhese basi barei agiwo,老虎说现在，我要吃你哩
Basi kieliene Ede bi chini ijiene,兔子说你别吃我啦吃我，连塞你牙缝都不够嘛，干啥呀
"Taolei kieliene Chi mini bu ijie Mini ijiese chini shidun zhawade nie kuruku wiwo ma, chi mini ijiezhi yan giene",如果不吃，我没有别的食物，我肚子饿了呀
Ulie ijiese made ijiekuni widawo. Bi oliesi bazila dazho,咳你别吃我啦把我放了吧
Hhai chi mini bu ijie chi mini andagva ya,明天我给你领一些来
magvashi bi ezegven uduruzhi ireye,在我的后面，接连不断地一个一个都跟着呢，你就吃呗，你都吃完，吃一顿饱餐吧。要是光吃掉我一个，连塞你牙缝都不够呀
"Mase khuina lienjigvadene nie nieji man ijie ma, chi man ijiedene idun chudu ma bi niezhegvenni ijiese chini shidun zhawade nie kurukuni wiwo ma",老虎说唉，就这样，你去吧明天仍是这个时候，你就来吧
Basi kieliezho Ai jiu ingie. Ede chi echi echidene magvashiku yen ene xienzide bi chini yen ene oronde sagveiye chi ire,第二天，老虎来到这个地方，等待这只兔子，可是兔子没有来。他又等了一天。正在等的时候，兔子独自奔来了
Khuaichu udu ene basi hhe turu irewo. Ire sagveise ene taolei ese irewo. Ene puse nie udu baiwo. Puse baise ene taolei nie zhegven irewo,老虎问哎呀你要是一个一个都领来的话，我都想吃掉呢，可是你独自奔来了，我还是没有吃的东西呀。你的其他伙伴怎么没来呢
"Basi asane Aiya chi nie nieji man uduruzhi irese bi man ijiene giezhiwo, chi jia niezhegven irese made ijiekuni wiwo. Pusezila chini yale ese irewo",兔子说我从这条路上本来时，还有一只老虎把我堵住了，那只老虎把我的其他伙伴都吃掉了。我是逃脱而来的
Taolei kieliene Bi ene mo jiere irese dao nie basi duyi agiwo. Dao nie basi duyi agidene pusezilani man hhe ijie agiwo. Bi holu anda irewo,还有像我这样的老虎吗？老虎问道
Bi mutu basi puse wainu,还有一只呢。跟你一模一样的
"Dao nie waine, chini xian xianji wo",在哪儿呢？请你领我去看一看
Khala waine? chi mini udurudene nie uzhegvale yawu,兔子一直把老虎领到一口井边上，到了井边上，兔子说就在这口井里面
Ene taolei izhi udurudene nie ghudou konde echiwo. Ghudou konde echi kielie Ene ghudoude wo,于是这老虎看了一眼，在井水中看见了影子，这真有一只老虎
"Ingiese ene basi nie uzhese, ene ghudouni usude xiaojiaone chujiegvewo, ene zhingiejia nie basi waine",这老虎它想要去咬这只老虎，它一使劲，里面的那只老虎也同样使劲的样子
Ene basi zhaone giezhi nie hinjise usunigvun ye nie hinjiwo,真的有这个老虎呢
Ene basi zhingiejia waine,纵身跳下水里去了
taidene usude jiaoli bao echiwo,跳下之后，哪里会有老虎啊，老虎就掉水里淹死了
"Jiaoli bao echise, khaladu basi wo, Ene basi usude yenji fuguwo",曹冲称象
caochun daxianni shizhila zho,三国年间，曹操的儿子曹冲非常聪明
"sengoni shihoude, caocaoni kewon caochun jiliu no giene",有一次，外国送给曹操一头大象
niefadeni waigose caocaode nie kozi daxian khogvo wo,曹操很想知道大象有多重，这可不好办，哪有那么大的秤啊
caocao ene daxian giedughonni khireine giekuni mejie da zhi ala zho,有人提议说，把大象宰了，割成一块一块的再称，曹操听了直摇头
"niekun kieliese daxianni ala dene khizhizhi niegieda niegiedaji gholugva dene puse shizhila giezhi, caocao nie chenlie se zi qiaorunne yaoqi zho",这时候曹冲知道了这件事，对他父亲说
"ingiese caochun ene wilieni mejie wo, hhe ada dene kielie zho",我有个办法
made nie fazi waine,曹冲找了条大船来，放到河里，然后把大象牵到船上去，这时船会下沉一些，这时齐水面在船帮上划一道记号
"caochun nie fugie chon ereizhi ire dene, moronde bougva jiewo, ingie dene daxianni chon jiere udu khireigva wo, ingiese chon doura gijinie baone, ingiese usu chonni alizegven de irezho shi alizegven de hao dayi wo",记号划好了以后，曹冲又叫人把大象牵上岸来。这时候大船空着，大船就往上浮起一些来
hao dayi goudagva dene caochun puse kunlani uruzhi daxianni zemin jiere baozhegva wo. ene xienzi de chon kundazhi jiere gijinie hhaorlie wo,接下来，曹冲叫人挑了石块，装到大船上去，挑了一担又一担，大船又慢慢地往下沉了
"ingiezhi bouzhese, caochun kunlani tashi danlagvazhi chon jiere khireigva zho, nie denzi nie denziji qilase, chon puse doura bouzhi echi wo",曹冲看见船帮上的记号齐了水面，就叫人把石块又一担一担地挑下船来
"caochun uzhezhi chon jiere dayisan jihao usure hhantulase, kunlani uruzhi tashini puse igua qilazhi bouzhegva wo",这时候，大家明白了石头装上船和大象装上船，那船下沉到同一记号上，可见，石头和大象是同样的重量
"ingiese manshigvala mejie wo tashini chon jiere khireigva ji daxianni chon jiere khireigva,chon doura bouzhi nie oronde echi zho, qinse tashi ji daxian niekielien gundu",再把这些石块称一称，把所有石块的重量加起来，得到的总和不就是大象的重量了吗
ingie enezegven tashilani man shizhilazhi khizhi iresan shi daxiannigvun pusho nu,大家看到曹冲称得了大象的重量，都夸曹冲是个聪明的孩子
"kunla uzhezhi caochun daxian giedugvonni khireikuni shizhilazhi khizhe iregva se, ashigvala caochun shi nie hen agelini kewon giezhi kuayi zho",宋国有个农民，他的田地中有一截树桩
"sungode nie ghazha tareisan kun waine ,nie kun ni ghazha de nie mutun waine",一天，一只跑得飞快的野兔撞在了树桩上
"Nie udu de, nie holuzhi ghujin ni taolei nenie mutun de mugvuwo",兔子把脖子扭断死了
taolei ghizhigvei ne mushigvei ciragvadene fugu wo,于是，农民便放下他的农具守在树桩子旁边，希望能再抓到一只兔子
ingiesene nie ghazha tareisan kun ghazha tareiku ojienlane jiedene mutun shida sagvei wo,但野兔再也没有来
sanan dene pese nie taolei barei shidane.taolei puse ese ire wo,他自己却被宋国人所耻笑
